variable,kind,level,group_a,group_b,value_a,value_b,difference,standardized_difference,review_flag
recency,continuous,,No E-Mail,Mens E-Mail,5.749694921618324,5.773642464917633,-0.02394754329930926,-0.006831532454259954,False
recency,continuous,,No E-Mail,Womens E-Mail,5.749694921618324,5.767849628278861,-0.0181547066605372,-0.005180013205688683,False
recency,continuous,,Mens E-Mail,Womens E-Mail,5.773642464917633,5.767849628278861,0.005792836638772059,0.0016491266166754931,False
history,continuous,,No E-Mail,Mens E-Mail,240.8826532432179,242.83593091472284,-1.9532776715049351,-0.00761286832154239,False
history,continuous,,No E-Mail,Womens E-Mail,240.8826532432179,242.53663346892975,-1.653980225711848,-0.006510722458553667,False
history,continuous,,Mens E-Mail,Womens E-Mail,242.83593091472284,242.53663346892975,0.29929744579308704,0.0011607131531366143,False
mens,categorical,0,No E-Mail,Mens E-Mail,0.4467755561813574,0.44905430140329466,-0.002278745221937273,,False
mens,categorical,0,No E-Mail,Womens E-Mail,0.4467755561813574,0.45106840604105297,-0.00429284985969558,,False
mens,categorical,0,Mens E-Mail,Womens E-Mail,0.44905430140329466,0.45106840604105297,-0.002014104637758307,,False
mens,categorical,1,No E-Mail,Mens E-Mail,0.5532244438186427,0.5509456985967053,0.002278745221937384,,False
mens,categorical,1,No E-Mail,Womens E-Mail,0.5532244438186427,0.548931593958947,0.004292849859695691,,False
mens,categorical,1,Mens E-Mail,Womens E-Mail,0.5509456985967053,0.548931593958947,0.002014104637758307,,False
womens,categorical,0,No E-Mail,Mens E-Mail,0.45236083732281984,0.44858497207490494,0.0037758652479149,,False
womens,categorical,0,No E-Mail,Womens E-Mail,0.45236083732281984,0.44989947164165145,0.0024613656811683926,,False
womens,categorical,0,Mens E-Mail,Womens E-Mail,0.44858497207490494,0.44989947164165145,-0.0013144995667465076,,False
womens,categorical,1,No E-Mail,Mens E-Mail,0.5476391626771802,0.551415027925095,-0.0037758652479148447,,False
womens,categorical,1,No E-Mail,Womens E-Mail,0.5476391626771802,0.5501005283583486,-0.0024613656811683926,,False
womens,categorical,1,Mens E-Mail,Womens E-Mail,0.551415027925095,0.5501005283583486,0.001314499566746452,,False
newbie,categorical,0,No E-Mail,Mens E-Mail,0.49802872430301326,0.4984746796827334,-0.0004459553797201421,,False
newbie,categorical,0,No E-Mail,Womens E-Mail,0.49802872430301326,0.4967503623696638,0.001278361933349459,,False
newbie,categorical,0,Mens E-Mail,Womens E-Mail,0.4984746796827334,0.4967503623696638,0.001724317313069601,,False
newbie,categorical,1,No E-Mail,Mens E-Mail,0.5019712756969867,0.5015253203172666,0.0004459553797201421,,False
newbie,categorical,1,No E-Mail,Womens E-Mail,0.5019712756969867,0.5032496376303361,-0.0012783619333494034,,False
newbie,categorical,1,Mens E-Mail,Womens E-Mail,0.5015253203172666,0.5032496376303361,-0.0017243173130695455,,False
zip_code,categorical,Rural,No E-Mail,Mens E-Mail,0.14732939078193935,0.1522035011967898,-0.004874110414850447,,False
zip_code,categorical,Rural,No E-Mail,Womens E-Mail,0.14732939078193935,0.14873521297984757,-0.0014058221979082186,,False
zip_code,categorical,Rural,Mens E-Mail,Womens E-Mail,0.1522035011967898,0.14873521297984757,0.003468288216942228,,False
