analysis_tier,feature,level,contrast,n_treatment,n_control,mean_treatment,mean_control,absolute_effect,ci_low,ci_high,nominal_p_value,method
exploratory,mens,0,P1,9568,9519,1.106294941471572,0.4905641348881185,0.6157308065834535,0.26965152897453104,0.9618100841923759,0.0004891358520919582,unadjusted subgroup mean difference; Welch 95% CI
exploratory,mens,0,P2,9647,9519,1.122212086659065,0.4905641348881185,0.6316479517709466,0.2951086910803512,0.9681872124615419,0.0002349794331030802,unadjusted subgroup mean difference; Welch 95% CI
exploratory,mens,1,P1,11739,11787,1.6804378567169267,0.7837999490964622,0.8966379076204645,0.46402922973139626,1.3292465855095328,4.87264982220137e-05,unadjusted subgroup mean difference; Welch 95% CI
exploratory,mens,1,P2,11740,11787,1.0402155025553663,0.7837999490964622,0.2564155534589041,-0.11724244724635025,0.6300735541641584,0.1786196728186696,unadjusted subgroup mean difference; Welch 95% CI
exploratory,womens,0,P1,9558,9638,1.3781617493199416,0.6954264370201286,0.682735312299813,0.24714126259206898,1.118329362007557,0.0021282218010223327,unadjusted subgroup mean difference; Welch 95% CI
exploratory,womens,0,P2,9622,9638,0.9737809187279153,0.6954264370201286,0.27835448170778665,-0.12358843645917944,0.6802973998747528,0.17466809037325362,unadjusted subgroup mean difference; Welch 95% CI
exploratory,womens,1,P1,11749,11668,1.4587811728657758,0.6175702776825506,0.8412108951832252,0.4659341597547651,1.2164876306116854,1.1203784120290433e-05,unadjusted subgroup mean difference; Welch 95% CI
exploratory,womens,1,P2,11765,11668,1.1617841053973652,0.6175702776825506,0.5442138277148146,0.216359293632725,0.8720683617969043,0.0011413734584142018,unadjusted subgroup mean difference; Welch 95% CI
exploratory,newbie,0,P1,10621,10611,1.5133170134638925,0.9353501083780982,0.5779669050857943,0.14156727685908765,1.014366533312501,0.009440424495721855,unadjusted subgroup mean difference; Welch 95% CI
exploratory,newbie,0,P2,10624,10611,1.0493072289156626,0.9353501083780982,0.11395712053756446,-0.2754905922994947,0.5034048333746236,0.5662838556814723,unadjusted subgroup mean difference; Welch 95% CI
exploratory,newbie,1,P1,10686,10695,1.3324677147669848,0.37244787283777464,0.9600198419292101,0.5937689318257573,1.3262707520326629,2.812421631419596e-07,unadjusted subgroup mean difference; Welch 95% CI
exploratory,newbie,1,P2,10763,10695,1.1047356684939145,0.37244787283777464,0.7322877956561398,0.40117531349549407,1.0634002778167855,1.4663264622056562e-05,unadjusted subgroup mean difference; Welch 95% CI
exploratory,channel,Multichannel,P1,2577,2606,1.824870003880481,0.6157405986185724,1.2091294052619086,0.3908133568197302,2.027445453704087,0.003789585658933672,unadjusted subgroup mean difference; Welch 95% CI
exploratory,channel,Multichannel,P2,2579,2606,1.7732764637456377,0.6157405986185724,1.1575358651270653,0.25858427374935367,2.056487456504777,0.011625472703167513,unadjusted subgroup mean difference; Welch 95% CI
exploratory,channel,Phone,P1,9240,9327,1.2085270562770565,0.6444526643079231,0.5640743919691333,0.1611318695232567,0.96701691441501,0.006077313232590326,unadjusted subgroup mean difference; Welch 95% CI
exploratory,channel,Phone,P2,9454,9327,0.8769261688174319,0.6444526643079231,0.23247350450950877,-0.11922279108584893,0.5841698001048665,0.19511804469875108,unadjusted subgroup mean difference; Welch 95% CI
exploratory,channel,Web,P1,9490,9373,1.5218345626975762,0.6713858956577403,0.8504486670398359,0.3971560274218549,1.303741306657817,0.00023632177099869602,unadjusted subgroup mean difference; Welch 95% CI
exploratory,channel,Web,P2,9354,9373,1.087702587128501,0.6713858956577403,0.4163166914707608,0.024534367161946458,0.8080990157795751,0.037279752498983895,unadjusted subgroup mean difference; Welch 95% CI
